left_file,right_file,response_left
'87_kriz_ssim_fc.png','87_kriz_mse_fc.png',1
'90_kriz_mse_fc.png','90_kriz_ssim_fc.png',0
'163_kriz_ssim_fc.png','163_kriz_mse_fc.png',1
'69_kriz_ssim_fc.png','69_kriz_mse_fc.png',1
'100_kriz_mse_fc.png','100_kriz_ssim_fc.png',0
'56_kriz_mse_fc.png','56_kriz_ssim_fc.png',0
'15_kriz_mse_fc.png','15_kriz_ssim_fc.png',0
'50_kriz_mse_fc.png','50_kriz_ssim_fc.png',0
'2_kriz_mse_fc.png','2_kriz_ssim_fc.png',0
'47_kriz_ssim_fc.png','47_kriz_mse_fc.png',1
'67_kriz_mse_fc.png','67_kriz_ssim_fc.png',0
'6_kriz_mse_fc.png','6_kriz_ssim_fc.png',0
'36_kriz_ssim_fc.png','36_kriz_mse_fc.png',0
'115_kriz_ssim_fc.png','115_kriz_mse_fc.png',1
'80_kriz_mse_fc.png','80_kriz_ssim_fc.png',0
'94_kriz_mse_fc.png','94_kriz_ssim_fc.png',0
'52_kriz_mse_fc.png','52_kriz_ssim_fc.png',0
'15_kriz_mse_fc.png','15_kriz_ssim_fc.png',0
'16_kriz_ssim_fc.png','16_kriz_mse_fc.png',1
'109_kriz_ssim_fc.png','109_kriz_mse_fc.png',1
'17_kriz_ssim_fc.png','17_kriz_mse_fc.png',1
'54_kriz_ssim_fc.png','54_kriz_mse_fc.png',0
'39_kriz_mse_fc.png','39_kriz_ssim_fc.png',0
'112_kriz_mse_fc.png','112_kriz_ssim_fc.png',0
'62_kriz_mse_fc.png','62_kriz_ssim_fc.png',0
'19_kriz_ssim_fc.png','19_kriz_mse_fc.png',1
'142_kriz_mse_fc.png','142_kriz_ssim_fc.png',0
'49_kriz_ssim_fc.png','49_kriz_mse_fc.png',1
'22_kriz_mse_fc.png','22_kriz_ssim_fc.png',0
'68_kriz_ssim_fc.png','68_kriz_mse_fc.png',1
'61_kriz_ssim_fc.png','61_kriz_mse_fc.png',1
'12_kriz_mse_fc.png','12_kriz_ssim_fc.png',0
'30_kriz_mse_fc.png','30_kriz_ssim_fc.png',0
'76_kriz_ssim_fc.png','76_kriz_mse_fc.png',1
'75_kriz_ssim_fc.png','75_kriz_mse_fc.png',1
'31_kriz_ssim_fc.png','31_kriz_mse_fc.png',1
'42_kriz_ssim_fc.png','42_kriz_mse_fc.png',1
'60_kriz_ssim_fc.png','60_kriz_mse_fc.png',1
'99_kriz_ssim_fc.png','99_kriz_mse_fc.png',1
'72_kriz_ssim_fc.png','72_kriz_mse_fc.png',1
'41_kriz_ssim_fc.png','41_kriz_mse_fc.png',1
'27_kriz_ssim_fc.png','27_kriz_mse_fc.png',1
'26_kriz_ssim_fc.png','26_kriz_mse_fc.png',1
'33_kriz_ssim_fc.png','33_kriz_mse_fc.png',1
'23_kriz_mse_fc.png','23_kriz_ssim_fc.png',0
'13_kriz_mse_fc.png','13_kriz_ssim_fc.png',0
'11_kriz_mse_fc.png','11_kriz_ssim_fc.png',0
'59_kriz_mse_fc.png','59_kriz_ssim_fc.png',0
'108_kriz_mse_fc.png','108_kriz_ssim_fc.png',0
'70_kriz_ssim_fc.png','70_kriz_mse_fc.png',1
'79_kriz_ssim_fc.png','79_kriz_mse_fc.png',0
'29_kriz_mse_fc.png','29_kriz_ssim_fc.png',0
'14_kriz_mse_fc.png','14_kriz_ssim_fc.png',0
'10_kriz_ssim_fc.png','10_kriz_mse_fc.png',1
'71_kriz_mse_fc.png','71_kriz_ssim_fc.png',0
'37_kriz_mse_fc.png','37_kriz_ssim_fc.png',0
'86_kriz_ssim_fc.png','86_kriz_mse_fc.png',1
'17_kriz_mse_fc.png','17_kriz_ssim_fc.png',0
'98_kriz_ssim_fc.png','98_kriz_mse_fc.png',1
'83_kriz_mse_fc.png','83_kriz_ssim_fc.png',0
'25_kriz_ssim_fc.png','25_kriz_mse_fc.png',1
'28_kriz_ssim_fc.png','28_kriz_mse_fc.png',1
'45_kriz_ssim_fc.png','45_kriz_mse_fc.png',1
'7_kriz_ssim_fc.png','7_kriz_mse_fc.png',1
'43_kriz_ssim_fc.png','43_kriz_mse_fc.png',1
'147_kriz_mse_fc.png','147_kriz_ssim_fc.png',0
'81_kriz_mse_fc.png','81_kriz_ssim_fc.png',0
'9_kriz_ssim_fc.png','9_kriz_mse_fc.png',1
'40_kriz_mse_fc.png','40_kriz_ssim_fc.png',0
'5_kriz_mse_fc.png','5_kriz_ssim_fc.png',0
'38_kriz_ssim_fc.png','38_kriz_mse_fc.png',1
'3_kriz_ssim_fc.png','3_kriz_mse_fc.png',1
'55_kriz_mse_fc.png','55_kriz_ssim_fc.png',0
'4_kriz_mse_fc.png','4_kriz_ssim_fc.png',0
'35_kriz_mse_fc.png','35_kriz_ssim_fc.png',0
'64_kriz_mse_fc.png','64_kriz_ssim_fc.png',0
'85_kriz_mse_fc.png','85_kriz_ssim_fc.png',0
'65_kriz_ssim_fc.png','65_kriz_mse_fc.png',1
'53_kriz_ssim_fc.png','53_kriz_mse_fc.png',0
'44_kriz_mse_fc.png','44_kriz_ssim_fc.png',0
'73_kriz_mse_fc.png','73_kriz_ssim_fc.png',0
'66_kriz_ssim_fc.png','66_kriz_mse_fc.png',0
'92_kriz_mse_fc.png','92_kriz_ssim_fc.png',0
'51_kriz_mse_fc.png','51_kriz_ssim_fc.png',0
'21_kriz_ssim_fc.png','21_kriz_mse_fc.png',1
'34_kriz_ssim_fc.png','34_kriz_mse_fc.png',1
'116_kriz_ssim_fc.png','116_kriz_mse_fc.png',1
'1_kriz_mse_fc.png','1_kriz_ssim_fc.png',0
'8_kriz_ssim_fc.png','8_kriz_mse_fc.png',1
'63_kriz_mse_fc.png','63_kriz_ssim_fc.png',0
'32_kriz_ssim_fc.png','32_kriz_mse_fc.png',1
'46_kriz_mse_fc.png','46_kriz_ssim_fc.png',0
'20_kriz_ssim_fc.png','20_kriz_mse_fc.png',1
'48_kriz_ssim_fc.png','48_kriz_mse_fc.png',1
'130_kriz_ssim_fc.png','130_kriz_mse_fc.png',1
'57_kriz_ssim_fc.png','57_kriz_mse_fc.png',1
'18_kriz_mse_fc.png','18_kriz_ssim_fc.png',0
'24_kriz_mse_fc.png','24_kriz_ssim_fc.png',0
'58_kriz_mse_fc.png','58_kriz_ssim_fc.png',0
'93_kriz_ssim_fc.png','93_kriz_mse_fc.png',1
'89_kriz_ssim_fc.png','89_kriz_mse_fc.png',1
'46_kriz_ssim_fc.png','46_kriz_mse_fc.png',1
'18_kriz_ssim_fc.png','18_kriz_mse_fc.png',1
'61_kriz_ssim_fc.png','61_kriz_mse_fc.png',1
'24_kriz_mse_fc.png','24_kriz_ssim_fc.png',1
'93_kriz_ssim_fc.png','93_kriz_mse_fc.png',1
'100_kriz_ssim_fc.png','100_kriz_mse_fc.png',1
'31_kriz_mse_fc.png','31_kriz_ssim_fc.png',0
'68_kriz_mse_fc.png','68_kriz_ssim_fc.png',0
'60_kriz_mse_fc.png','60_kriz_ssim_fc.png',1
'115_kriz_ssim_fc.png','115_kriz_mse_fc.png',1
'56_kriz_mse_fc.png','56_kriz_ssim_fc.png',0
'13_kriz_mse_fc.png','13_kriz_ssim_fc.png',0
'86_kriz_mse_fc.png','86_kriz_ssim_fc.png',0
'92_kriz_mse_fc.png','92_kriz_ssim_fc.png',0
'0_kriz_ssim_fc.png','0_kriz_mse_fc.png',1
'109_kriz_ssim_fc.png','109_kriz_mse_fc.png',0
'33_kriz_mse_fc.png','33_kriz_ssim_fc.png',0
'7_kriz_mse_fc.png','7_kriz_ssim_fc.png',0
'19_kriz_ssim_fc.png','19_kriz_mse_fc.png',1
'55_kriz_mse_fc.png','55_kriz_ssim_fc.png',0
'59_kriz_mse_fc.png','59_kriz_ssim_fc.png',0
'67_kriz_mse_fc.png','67_kriz_ssim_fc.png',0
'87_kriz_ssim_fc.png','87_kriz_mse_fc.png',1
'163_kriz_mse_fc.png','163_kriz_ssim_fc.png',0
'63_kriz_ssim_fc.png','63_kriz_mse_fc.png',1
'90_kriz_ssim_fc.png','90_kriz_mse_fc.png',0
'16_kriz_mse_fc.png','16_kriz_ssim_fc.png',0
'42_kriz_ssim_fc.png','42_kriz_mse_fc.png',0
'41_kriz_mse_fc.png','41_kriz_ssim_fc.png',0
'39_kriz_ssim_fc.png','39_kriz_mse_fc.png',1
'35_kriz_ssim_fc.png','35_kriz_mse_fc.png',1
'6_kriz_ssim_fc.png','6_kriz_mse_fc.png',0
'58_kriz_ssim_fc.png','58_kriz_mse_fc.png',1
'72_kriz_ssim_fc.png','72_kriz_mse_fc.png',1
'38_kriz_ssim_fc.png','38_kriz_mse_fc.png',1
'48_kriz_mse_fc.png','48_kriz_ssim_fc.png',0
'22_kriz_ssim_fc.png','22_kriz_mse_fc.png',0
'43_kriz_ssim_fc.png','43_kriz_mse_fc.png',1
'73_kriz_mse_fc.png','73_kriz_ssim_fc.png',0
'25_kriz_mse_fc.png','25_kriz_ssim_fc.png',0
'4_kriz_ssim_fc.png','4_kriz_mse_fc.png',1
'80_kriz_ssim_fc.png','80_kriz_mse_fc.png',1
'3_kriz_mse_fc.png','3_kriz_ssim_fc.png',0
'17_kriz_ssim_fc.png','17_kriz_mse_fc.png',1
'2_kriz_ssim_fc.png','2_kriz_mse_fc.png',1
'20_kriz_ssim_fc.png','20_kriz_mse_fc.png',1
'53_kriz_ssim_fc.png','53_kriz_mse_fc.png',1
'49_kriz_ssim_fc.png','49_kriz_mse_fc.png',1
'75_kriz_mse_fc.png','75_kriz_ssim_fc.png',0
'94_kriz_ssim_fc.png','94_kriz_mse_fc.png',1
'12_kriz_mse_fc.png','12_kriz_ssim_fc.png',0
'15_kriz_ssim_fc.png','15_kriz_mse_fc.png',1
'15_kriz_mse_fc.png','15_kriz_ssim_fc.png',0
'26_kriz_mse_fc.png','26_kriz_ssim_fc.png',0
'37_kriz_ssim_fc.png','37_kriz_mse_fc.png',1
'142_kriz_ssim_fc.png','142_kriz_mse_fc.png',1
'23_kriz_ssim_fc.png','23_kriz_mse_fc.png',1
'70_kriz_mse_fc.png','70_kriz_ssim_fc.png',0
'116_kriz_ssim_fc.png','116_kriz_mse_fc.png',1
'52_kriz_mse_fc.png','52_kriz_ssim_fc.png',1
'5_kriz_ssim_fc.png','5_kriz_mse_fc.png',0
'65_kriz_mse_fc.png','65_kriz_ssim_fc.png',0
'76_kriz_ssim_fc.png','76_kriz_mse_fc.png',1
'9_kriz_ssim_fc.png','9_kriz_mse_fc.png',1
'21_kriz_ssim_fc.png','21_kriz_mse_fc.png',1
'30_kriz_ssim_fc.png','30_kriz_mse_fc.png',1
'14_kriz_ssim_fc.png','14_kriz_mse_fc.png',1
'10_kriz_ssim_fc.png','10_kriz_mse_fc.png',1
