reference,ssim,mse,trial
15_orig.png,15_kriz_ssim_fc.png,15_kriz_mse_fc.png,1
17_orig.png,17_kriz_ssim_fc.png,17_kriz_mse_fc.png,1
18_orig.png,18_kriz_ssim_fc.png,18_kriz_mse_fc.png,1
19_orig.png,19_kriz_ssim_fc.png,19_kriz_mse_fc.png,1
29_orig.png,29_kriz_ssim_fc.png,29_kriz_mse_fc.png,1
46_orig.png,46_kriz_ssim_fc.png,46_kriz_mse_fc.png,1
48_orig.png,48_kriz_ssim_fc.png,48_kriz_mse_fc.png,1
61_orig.png,61_kriz_ssim_fc.png,61_kriz_mse_fc.png,1
63_orig.png,63_kriz_ssim_fc.png,63_kriz_mse_fc.png,1
64_orig.png,64_kriz_ssim_fc.png,64_kriz_mse_fc.png,1
74_orig.png,74_kriz_ssim_fc.png,74_kriz_mse_fc.png,2
78_orig.png,78_kriz_ssim_fc.png,78_kriz_mse_fc.png,2
82_orig.png,82_kriz_ssim_fc.png,82_kriz_mse_fc.png,2
88_orig.png,88_kriz_ssim_fc.png,88_kriz_mse_fc.png,2
96_orig.png,96_kriz_ssim_fc.png,96_kriz_mse_fc.png,2
104_orig.png,104_kriz_ssim_fc.png,104_kriz_mse_fc.png,2
114_orig.png,114_kriz_ssim_fc.png,114_kriz_mse_fc.png,2
122_orig.png,122_kriz_ssim_fc.png,122_kriz_mse_fc.png,2
151_orig.png,151_kriz_ssim_fc.png,151_kriz_mse_fc.png,2
167_orig.png,167_kriz_ssim_fc.png,167_kriz_mse_fc.png,2
178_orig.png,178_kriz_ssim_fc.png,178_kriz_mse_fc.png,3
183_orig.png,183_kriz_ssim_fc.png,183_kriz_mse_fc.png,3
213_orig.png,213_kriz_ssim_fc.png,213_kriz_mse_fc.png,3
222_orig.png,222_kriz_ssim_fc.png,222_kriz_mse_fc.png,3
237_orig.png,237_kriz_ssim_fc.png,237_kriz_mse_fc.png,3
243_orig.png,243_kriz_ssim_fc.png,243_kriz_mse_fc.png,3
268_orig.png,268_kriz_ssim_fc.png,268_kriz_mse_fc.png,3
289_orig.png,289_kriz_ssim_fc.png,289_kriz_mse_fc.png,3
305_orig.png,305_kriz_ssim_fc.png,305_kriz_mse_fc.png,3
309_orig.png,309_kriz_ssim_fc.png,309_kriz_mse_fc.png,3
311_orig.png,311_kriz_ssim_fc.png,311_kriz_mse_fc.png,4
335_orig.png,335_kriz_ssim_fc.png,335_kriz_mse_fc.png,4
341_orig.png,341_kriz_ssim_fc.png,341_kriz_mse_fc.png,4
344_orig.png,344_kriz_ssim_fc.png,344_kriz_mse_fc.png,4
364_orig.png,364_kriz_ssim_fc.png,364_kriz_mse_fc.png,4
366_orig.png,366_kriz_ssim_fc.png,366_kriz_mse_fc.png,4
371_orig.png,371_kriz_ssim_fc.png,371_kriz_mse_fc.png,4
373_orig.png,373_kriz_ssim_fc.png,373_kriz_mse_fc.png,4
398_orig.png,398_kriz_ssim_fc.png,398_kriz_mse_fc.png,4
400_orig.png,400_kriz_ssim_fc.png,400_kriz_mse_fc.png,4
401_orig.png,401_kriz_ssim_fc.png,401_kriz_mse_fc.png,5
405_orig.png,405_kriz_ssim_fc.png,405_kriz_mse_fc.png,5
406_orig.png,406_kriz_ssim_fc.png,406_kriz_mse_fc.png,5
431_orig.png,431_kriz_ssim_fc.png,431_kriz_mse_fc.png,5
479_orig.png,479_kriz_ssim_fc.png,479_kriz_mse_fc.png,5
481_orig.png,481_kriz_ssim_fc.png,481_kriz_mse_fc.png,5
484_orig.png,484_kriz_ssim_fc.png,484_kriz_mse_fc.png,5
493_orig.png,493_kriz_ssim_fc.png,493_kriz_mse_fc.png,5
496_orig.png,496_kriz_ssim_fc.png,496_kriz_mse_fc.png,5
505_orig.png,505_kriz_ssim_fc.png,505_kriz_mse_fc.png,5
519_orig.png,519_kriz_ssim_fc.png,519_kriz_mse_fc.png,6
525_orig.png,525_kriz_ssim_fc.png,525_kriz_mse_fc.png,6
531_orig.png,531_kriz_ssim_fc.png,531_kriz_mse_fc.png,6
535_orig.png,535_kriz_ssim_fc.png,535_kriz_mse_fc.png,6
540_orig.png,540_kriz_ssim_fc.png,540_kriz_mse_fc.png,6
563_orig.png,563_kriz_ssim_fc.png,563_kriz_mse_fc.png,6
566_orig.png,566_kriz_ssim_fc.png,566_kriz_mse_fc.png,6
583_orig.png,583_kriz_ssim_fc.png,583_kriz_mse_fc.png,6
599_orig.png,599_kriz_ssim_fc.png,599_kriz_mse_fc.png,6
612_orig.png,612_kriz_ssim_fc.png,612_kriz_mse_fc.png,6
616_orig.png,616_kriz_ssim_fc.png,616_kriz_mse_fc.png,7
620_orig.png,620_kriz_ssim_fc.png,620_kriz_mse_fc.png,7
626_orig.png,626_kriz_ssim_fc.png,626_kriz_mse_fc.png,7
628_orig.png,628_kriz_ssim_fc.png,628_kriz_mse_fc.png,7
671_orig.png,671_kriz_ssim_fc.png,671_kriz_mse_fc.png,7
675_orig.png,675_kriz_ssim_fc.png,675_kriz_mse_fc.png,7
677_orig.png,677_kriz_ssim_fc.png,677_kriz_mse_fc.png,7
681_orig.png,681_kriz_ssim_fc.png,681_kriz_mse_fc.png,7
690_orig.png,690_kriz_ssim_fc.png,690_kriz_mse_fc.png,7
708_orig.png,708_kriz_ssim_fc.png,708_kriz_mse_fc.png,7
714_orig.png,714_kriz_ssim_fc.png,714_kriz_mse_fc.png,8
726_orig.png,726_kriz_ssim_fc.png,726_kriz_mse_fc.png,8
746_orig.png,746_kriz_ssim_fc.png,746_kriz_mse_fc.png,8
754_orig.png,754_kriz_ssim_fc.png,754_kriz_mse_fc.png,8
762_orig.png,762_kriz_ssim_fc.png,762_kriz_mse_fc.png,8
767_orig.png,767_kriz_ssim_fc.png,767_kriz_mse_fc.png,8
790_orig.png,790_kriz_ssim_fc.png,790_kriz_mse_fc.png,8
796_orig.png,796_kriz_ssim_fc.png,796_kriz_mse_fc.png,8
797_orig.png,797_kriz_ssim_fc.png,797_kriz_mse_fc.png,8
804_orig.png,804_kriz_ssim_fc.png,804_kriz_mse_fc.png,8
807_orig.png,807_kriz_ssim_fc.png,807_kriz_mse_fc.png,9
816_orig.png,816_kriz_ssim_fc.png,816_kriz_mse_fc.png,9
819_orig.png,819_kriz_ssim_fc.png,819_kriz_mse_fc.png,9
821_orig.png,821_kriz_ssim_fc.png,821_kriz_mse_fc.png,9
827_orig.png,827_kriz_ssim_fc.png,827_kriz_mse_fc.png,9
876_orig.png,876_kriz_ssim_fc.png,876_kriz_mse_fc.png,9
880_orig.png,880_kriz_ssim_fc.png,880_kriz_mse_fc.png,9
887_orig.png,887_kriz_ssim_fc.png,887_kriz_mse_fc.png,9
888_orig.png,888_kriz_ssim_fc.png,888_kriz_mse_fc.png,9
906_orig.png,906_kriz_ssim_fc.png,906_kriz_mse_fc.png,9
909_orig.png,909_kriz_ssim_fc.png,909_kriz_mse_fc.png,10
913_orig.png,913_kriz_ssim_fc.png,913_kriz_mse_fc.png,10
933_orig.png,933_kriz_ssim_fc.png,933_kriz_mse_fc.png,10
968_orig.png,968_kriz_ssim_fc.png,968_kriz_mse_fc.png,10
982_orig.png,982_kriz_ssim_fc.png,982_kriz_mse_fc.png,10
1007_orig.png,1007_kriz_ssim_fc.png,1007_kriz_mse_fc.png,10
1018_orig.png,1018_kriz_ssim_fc.png,1018_kriz_mse_fc.png,10
1049_orig.png,1049_kriz_ssim_fc.png,1049_kriz_mse_fc.png,10
1053_orig.png,1053_kriz_ssim_fc.png,1053_kriz_mse_fc.png,10
1058_orig.png,1058_kriz_ssim_fc.png,1058_kriz_mse_fc.png,10
1065_orig.png,1065_kriz_ssim_fc.png,1065_kriz_mse_fc.png,11
1067_orig.png,1067_kriz_ssim_fc.png,1067_kriz_mse_fc.png,11
1068_orig.png,1068_kriz_ssim_fc.png,1068_kriz_mse_fc.png,11
1086_orig.png,1086_kriz_ssim_fc.png,1086_kriz_mse_fc.png,11
1088_orig.png,1088_kriz_ssim_fc.png,1088_kriz_mse_fc.png,11
1101_orig.png,1101_kriz_ssim_fc.png,1101_kriz_mse_fc.png,11
1104_orig.png,1104_kriz_ssim_fc.png,1104_kriz_mse_fc.png,11
1111_orig.png,1111_kriz_ssim_fc.png,1111_kriz_mse_fc.png,11
1116_orig.png,1116_kriz_ssim_fc.png,1116_kriz_mse_fc.png,11
1123_orig.png,1123_kriz_ssim_fc.png,1123_kriz_mse_fc.png,11
1124_orig.png,1124_kriz_ssim_fc.png,1124_kriz_mse_fc.png,12
1136_orig.png,1136_kriz_ssim_fc.png,1136_kriz_mse_fc.png,12
1144_orig.png,1144_kriz_ssim_fc.png,1144_kriz_mse_fc.png,12
1153_orig.png,1153_kriz_ssim_fc.png,1153_kriz_mse_fc.png,12
1165_orig.png,1165_kriz_ssim_fc.png,1165_kriz_mse_fc.png,12
