step, error
0, 0.191545
1, 0.231974
2, 0.292332
3, 0.311407
4, 0.306445
5, 0.288145
6, 0.262179
7, 0.232267
8, 0.201355
9, 0.172195
10, 0.147293
11, 0.12859
12, 0.117277
13, 0.113262
14, 0.11494
15, 0.119807
16, 0.125027
17, 0.128209
18, 0.128022
19, 0.124415
20, 0.118344
21, 0.111184
22, 0.104249
23, 0.0984322
24, 0.0941956
25, 0.0914909
26, 0.0900395
27, 0.0894336
28, 0.0892293
29, 0.0890509
30, 0.0886148
31, 0.0877687
32, 0.0864948
33, 0.0848883
34, 0.0831174
35, 0.0813845
36, 0.0798815
37, 0.078729
38, 0.0779461
39, 0.0774406
40, 0.0770539
41, 0.0765992
42, 0.0759429
43, 0.0750485
44, 0.0739739
45, 0.0728453
46, 0.0718097
47, 0.0709611
48, 0.0702931
49, 0.0697805
50, 0.0693356
51, 0.0688776
52, 0.0683474
53, 0.0677396
54, 0.0670793
55, 0.0664068
56, 0.0657842
