step, error
0, 0.392372
1, 0.391947
2, 0.391522
3, 0.391096
4, 0.390671
5, 0.390245
6, 0.38982
7, 0.389396
8, 0.388971
9, 0.388546
10, 0.388121
11, 0.387697
12, 0.387273
13, 0.386849
14, 0.386424
15, 0.386
16, 0.385576
17, 0.385153
18, 0.384729
19, 0.384305
20, 0.383882
21, 0.383459
22, 0.383036
23, 0.382613
24, 0.382191
25, 0.381768
26, 0.381345
27, 0.380923
28, 0.380501
29, 0.380079
30, 0.379657
31, 0.379236
32, 0.378814
33, 0.378393
34, 0.377972
35, 0.377552
36, 0.377131
37, 0.376711
38, 0.376291
39, 0.375871
40, 0.375451
41, 0.375031
42, 0.374612
43, 0.374193
44, 0.373774
45, 0.373355
46, 0.372937
47, 0.372518
48, 0.3721
49, 0.371681
50, 0.371264
51, 0.370846
52, 0.370428
53, 0.370011
54, 0.369594
55, 0.369177
56, 0.36876
57, 0.368344
58, 0.367928
59, 0.367513
60, 0.367097
61, 0.366681
62, 0.366266
63, 0.365851
64, 0.365437
65, 0.365022
66, 0.364608
67, 0.364194
68, 0.363779
69, 0.363366
70, 0.362953
71, 0.362539
72, 0.362126
73, 0.361714
74, 0.361301
75, 0.360889
76, 0.360477
77, 0.360065
78, 0.359653
79, 0.359242
80, 0.358831
81, 0.35842
82, 0.358009
83, 0.357599
84, 0.357189
85, 0.356779
86, 0.356369
87, 0.355959
88, 0.355551
89, 0.355142
90, 0.354733
91, 0.354324
92, 0.353916
93, 0.353507
94, 0.3531
95, 0.352693
96, 0.352285
97, 0.351878
98, 0.351472
99, 0.351064
100, 0.350658
101, 0.350252
102, 0.349847
103, 0.349441
104, 0.349035
105, 0.34863
106, 0.348226
107, 0.347821
108, 0.347416
109, 0.347012
110, 0.346608
111, 0.346205
112, 0.345802
113, 0.345398
114, 0.344996
115, 0.344594
116, 0.344191
117, 0.343789
118, 0.343387
119, 0.342986
120, 0.342585
121, 0.342183
122, 0.341783
123, 0.341383
124, 0.340982
125, 0.340582
126, 0.340183
127, 0.339784
128, 0.339384
129, 0.338986
130, 0.338587
131, 0.338189
132, 0.337791
133, 0.337393
134, 0.336995
135, 0.336598
136, 0.336201
137, 0.335805
138, 0.335408
139, 0.335012
140, 0.334616
141, 0.33422
142, 0.333825
143, 0.33343
144, 0.333035
145, 0.332641
146, 0.332247
147, 0.331853
148, 0.331459
149, 0.331066
150, 0.330673
151, 0.33028
152, 0.329888
153, 0.329495
154, 0.329104
155, 0.328712
156, 0.328321
157, 0.32793
158, 0.327539
159, 0.327149
160, 0.326759
161, 0.326369
162, 0.32598
163, 0.325591
164, 0.325202
165, 0.324814
166, 0.324426
167, 0.324038
168, 0.323651
169, 0.323264
170, 0.322877
171, 0.32249
172, 0.322104
173, 0.321719
174, 0.321333
175, 0.320948
176, 0.320563
177, 0.320179
178, 0.319794
179, 0.319411
180, 0.319027
181, 0.318644
182, 0.318261
183, 0.317878
184, 0.317496
185, 0.317114
186, 0.316732
187, 0.316351
188, 0.31597
189, 0.31559
190, 0.315209
191, 0.314829
192, 0.31445
193, 0.31407
194, 0.313691
195, 0.313312
196, 0.312934
197, 0.312556
198, 0.312179
199, 0.311801
200, 0.311424
201, 0.311047
202, 0.310671
203, 0.310295
204, 0.309919
205, 0.309544
206, 0.309169
207, 0.308794
208, 0.30842
209, 0.308046
210, 0.307673
211, 0.307299
212, 0.306927
213, 0.306553
214, 0.306181
215, 0.30581
216, 0.305438
217, 0.305067
218, 0.304696
219, 0.304325
220, 0.303956
221, 0.303586
222, 0.303216
223, 0.302847
224, 0.302478
225, 0.30211
226, 0.301742
227, 0.301374
228, 0.301007
229, 0.300639
230, 0.300274
231, 0.299907
232, 0.299541
233, 0.299176
234, 0.29881
235, 0.298446
236, 0.298081
237, 0.297717
238, 0.297353
239, 0.29699
240, 0.296627
241, 0.296265
242, 0.295902
243, 0.29554
244, 0.295179
245, 0.294818
246, 0.294457
247, 0.294096
248, 0.293736
249, 0.293377
250, 0.293017
251, 0.292658
252, 0.2923
253, 0.291942
254, 0.291584
255, 0.291226
256, 0.290869
257, 0.290513
258, 0.290156
259, 0.289801
260, 0.289445
261, 0.28909
262, 0.288735
263, 0.288381
264, 0.288027
265, 0.287673
266, 0.28732
267, 0.286968
268, 0.286616
269, 0.286264
270, 0.285912
271, 0.285561
272, 0.285211
273, 0.28486
274, 0.28451
275, 0.284161
276, 0.283811
277, 0.283463
278, 0.283115
279, 0.282767
280, 0.282419
281, 0.282072
282, 0.281726
283, 0.281379
284, 0.281033
285, 0.280688
286, 0.280343
287, 0.279998
288, 0.279653
289, 0.27931
290, 0.278966
291, 0.278623
292, 0.27828
293, 0.277938
