step, error
0, 0.0997142
1, 0.0853911
2, 0.0783709
3, 0.0756721
4, 0.074352
5, 0.072479
6, 0.0695162
7, 0.06589
8, 0.062505
9, 0.0603503
10, 0.059886
11, 0.0603849
12, 0.0604801
13, 0.0595315
14, 0.0579068
15, 0.0563161
16, 0.0552269
17, 0.0546662
18, 0.0543522
19, 0.0540001
20, 0.053436
21, 0.0526367
22, 0.0516927
23, 0.0507571
24, 0.0499717
25, 0.0494016
26, 0.0490065
27, 0.048641
28, 0.0481517
29, 0.0475062
30, 0.0468025
31, 0.0461728
32, 0.0456868
33, 0.0453166
34, 0.0449766
35, 0.0445949
36, 0.0441553
37, 0.0436825
38, 0.0432324
39, 0.0428556
40, 0.0425121
41, 0.0420854
42, 0.0415504
43, 0.0410379
44, 0.0406172
45, 0.0402257
46, 0.0397839
47, 0.0393104
48, 0.0389098
49, 0.0385597
50, 0.0381227
51, 0.0376975
52, 0.037356
53, 0.036975
54, 0.0365644
55, 0.0362393
56, 0.0358528
57, 0.0354708
58, 0.0351569
59, 0.0347772
60, 0.0344418
61, 0.0340861
62, 0.0337152
63, 0.0333848
64, 0.033012
65, 0.0326948
66, 0.0323298
67, 0.0320141
68, 0.0316635
69, 0.031357
70, 0.0310108
71, 0.0306984
72, 0.0303653
73, 0.0300675
74, 0.0297584
75, 0.0294454
76, 0.0291526
77, 0.0288478
78, 0.0285616
79, 0.0282752
80, 0.027983
81, 0.0277126
82, 0.027442
83, 0.0271683
84, 0.0269092
85, 0.0266545
86, 0.0263929
87, 0.0261375
88, 0.025896
89, 0.0256558
90, 0.0254111
91, 0.0251699
92, 0.0249352
93, 0.0247031
94, 0.0244741
95, 0.0242474
96, 0.0240233
97, 0.0238028
98, 0.0235867
99, 0.0233743
100, 0.023167
101, 0.022972
102, 0.0228082
103, 0.0226845
104, 0.0226639
105, 0.0224941
106, 0.0222093
107, 0.0217998
108, 0.0216874
109, 0.0217083
110, 0.0214106
111, 0.021086
112, 0.0209685
113, 0.0209004
114, 0.0206981
115, 0.0204109
116, 0.020283
117, 0.0202184
118, 0.0200053
119, 0.0197607
120, 0.0196041
121, 0.01951
122, 0.0193814
123, 0.0191652
124, 0.0189651
125, 0.0188248
126, 0.0187155
127, 0.0185949
128, 0.0184216
129, 0.0182358
130, 0.0180572
131, 0.0179041
132, 0.0177748
133, 0.0176598
134, 0.017559
135, 0.0174569
136, 0.0173864
137, 0.0172781
138, 0.0171912
139, 0.0169894
140, 0.0167824
141, 0.0165575
142, 0.0163914
143, 0.0162855
144, 0.0162168
145, 0.0161743
146, 0.016098
147, 0.0160261
148, 0.015845
149, 0.0156574
150, 0.0154507
151, 0.015295
152, 0.0151928
153, 0.0151266
154, 0.0150856
155, 0.0150289
156, 0.0149881
157, 0.0148607
158, 0.0147267
159, 0.0145271
160, 0.0143555
161, 0.0142255
162, 0.0141421
163, 0.0140911
164, 0.0140486
165, 0.014026
166, 0.0139613
167, 0.0139103
168, 0.0137649
169, 0.0136195
170, 0.0134413
171, 0.0132996
172, 0.013201
173, 0.0131397
174, 0.0131047
175, 0.0130749
176, 0.0130733
177, 0.0130308
178, 0.0130176
179, 0.0128827
180, 0.0127459
181, 0.0125427
182, 0.0123856
183, 0.0122894
184, 0.012249
185, 0.0122443
186, 0.0122323
187, 0.0122373
188, 0.0121609
189, 0.0120872
190, 0.0119221
191, 0.011772
192, 0.0116369
193, 0.0115487
194, 0.0115011
195, 0.011478
196, 0.0114773
197, 0.0114654
198, 0.0114868
199, 0.0114375
200, 0.0114115
201, 0.0112571
202, 0.0111099
203, 0.0109402
204, 0.0108263
205, 0.0107711
206, 0.0107576
207, 0.0107703
208, 0.0107658
209, 0.0107782
210, 0.0107131
211, 0.0106563
212, 0.0105162
213, 0.0103903
214, 0.0102682
215, 0.0101841
216, 0.0101347
217, 0.0101107
218, 0.0101077
219, 0.0101101
220, 0.0101504
221, 0.0101622
222, 0.0102337
223, 0.0101655
224, 0.0101128
225, 0.00988809
226, 0.0097
227, 0.00957279
228, 0.00954613
229, 0.0095858
230, 0.0096143
231, 0.00962866
232, 0.00953263
233, 0.00942339
234, 0.0092914
235, 0.0092022
236, 0.00916106
237, 0.00915513
238, 0.00916686
239, 0.00916104
240, 0.00915943
241, 0.00910864
242, 0.00906207
243, 0.00897314
244, 0.00889366
245, 0.00880847
246, 0.00873973
247, 0.00868506
248, 0.00864304
249, 0.00861072
250, 0.00858607
251, 0.00857211
252, 0.00856799
253, 0.00859835
254, 0.00864688
255, 0.00880217
256, 0.00891335
257, 0.00917955
258, 0.00897953
259, 0.00874532
260, 0.00829458
261, 0.00815329
262, 0.00831735
263, 0.00844004
264, 0.00839218
265, 0.00810429
266, 0.00797687
267, 0.00806269
268, 0.00813497
269, 0.00808195
270, 0.00789702
271, 0.00781325
272, 0.0078586
273, 0.00789429
274, 0.00785144
275, 0.00772782
276, 0.00765202
277, 0.00765435
278, 0.00767553
279, 0.00766292
280, 0.00758742
281, 0.0075109
282, 0.00746843
283, 0.00746191
284, 0.00746458
285, 0.007443
286, 0.00740136
287, 0.00734371
288, 0.00729418
289, 0.00726006
290, 0.00724031
291, 0.00722745
292, 0.0072122
293, 0.00719437
294, 0.00716666
295, 0.00713794
296, 0.00710263
297, 0.00706944
298, 0.00703459
299, 0.00700297
300, 0.00697188
301, 0.00694402
302, 0.00691752
303, 0.00689542
304, 0.00687673
305, 0.00686865
306, 0.00687142
307, 0.00690977
308, 0.00697855
309, 0.00716817
310, 0.00735864
311, 0.00777674
312, 0.00765277
313, 0.00746646
314, 0.00680788
315, 0.00658003
316, 0.00683439
317, 0.00700568
318, 0.00688207
319, 0.00652787
320, 0.00651664
321, 0.00673276
322, 0.006678
323, 0.00646593
324, 0.00637403
325, 0.00648075
326, 0.00653849
327, 0.00638388
328, 0.00627686
329, 0.00632074
330, 0.00636269
331, 0.00630302
332, 0.00619809
333, 0.00618293
334, 0.00622353
335, 0.0062042
336, 0.00613377
337, 0.00607948
338, 0.00608124
339, 0.00609506
340, 0.00606552
341, 0.00601226
342, 0.00597354
343, 0.00596619
344, 0.00596732
345, 0.00594736
346, 0.00591037
347, 0.00587294
348, 0.00585127
349, 0.00584232
350, 0.00583214
351, 0.00581299
352, 0.00578375
353, 0.0057538
354, 0.00572914
355, 0.00571152
356, 0.00569786
357, 0.0056835
358, 0.0056663
359, 0.00564485
360, 0.00562161
361, 0.00559772
362, 0.00557511
363, 0.00555422
364, 0.00553505
365, 0.00551722
366, 0.00550026
367, 0.005484
368, 0.00546823
369, 0.0054535
370, 0.00543974
371, 0.00542894
