step, error
0, 0.396299
1, 0.38396
2, 0.370187
3, 0.362404
4, 0.398518
5, 0.365078
6, 0.386268
7, 0.370639
8, 0.362219
9, 0.381289
10, 0.372389
11, 0.387658
12, 0.369862
13, 0.366476
14, 0.350309
15, 0.367514
16, 0.36241
17, 0.35949
18, 0.36329
19, 0.350905
20, 0.355845
21, 0.37546
22, 0.377994
23, 0.347773
24, 0.356695
25, 0.351445
26, 0.352359
27, 0.343456
28, 0.353101
29, 0.341708
30, 0.335196
31, 0.351995
32, 0.355361
33, 0.329165
34, 0.331129
35, 0.345053
36, 0.34667
37, 0.351437
38, 0.34357
39, 0.32986
40, 0.357173
41, 0.341891
42, 0.324071
43, 0.324267
44, 0.343771
45, 0.310353
46, 0.337393
47, 0.322949
48, 0.31462
49, 0.320625
50, 0.34294
51, 0.331933
52, 0.328675
53, 0.31236
54, 0.316894
55, 0.319638
56, 0.32299
57, 0.32357
58, 0.329159
59, 0.312501
60, 0.309087
61, 0.300898
62, 0.303917
63, 0.314072
64, 0.329702
65, 0.314293
66, 0.300463
67, 0.309175
68, 0.317394
69, 0.301641
70, 0.306312
71, 0.292522
72, 0.320001
73, 0.314887
